# mc-number	             name	     mass	    width	deg	Qb	Qs	Qc	Qbot	isospin	charge	decays	   Nyield
#       211	              pi+	  0.14000	0.00000e+00	1	0	  0	0	0	1	  1	  1	0.000630422
# 1:pbar [GeV]	2:m [GeV]	3:Feq 1	4:Feq 2	5:Fshear 1	6:Fshear 2	7:Fshear 3	8:Fbulk 1	9:Fbulk 2	10:Ftemp 1	11:Ftemp 2	12:Fvel 1	13:Fvel 2	14:Fvel 3
    3.62517e-03	    1.40000e-01	    2.74254e-03	    5.13930e-03	    1.02183e-07	    1.43823e-04	    2.52961e-07	    5.35757e-04	    1.64190e-03	    6.50042e-03	    2.61695e-02	    1.92300e-05	    4.02964e-02	    2.43990e-05
    7.25044e-03	    1.40000e-01	    5.47486e-03	    1.02609e-02	    8.18944e-07	    2.86010e-04	    2.01449e-06	    1.06640e-03	    3.27305e-03	    1.29670e-02	    5.22652e-02	    7.67503e-05	    4.03308e-02	    9.72451e-05
    1.08759e-02	    1.40000e-01	    8.18687e-03	    1.53473e-02	    2.77186e-06	    4.25004e-04	    6.74731e-06	    1.58689e-03	    4.88291e-03	    1.93665e-02	    7.82143e-02	    1.72054e-04	    4.03879e-02	    2.17497e-04
    1.45016e-02	    1.40000e-01	    1.08687e-02	    2.03816e-02	    6.59520e-06	    5.59388e-04	    1.58234e-05	    2.09229e-03	    6.46130e-03	    2.56665e-02	    1.03946e-01	    3.04298e-04	    4.04677e-02	    3.83451e-04
    1.81278e-02	    1.40000e-01	    1.35107e-02	    2.53475e-02	    1.29387e-05	    6.87950e-04	    3.04805e-05	    2.57785e-03	    7.99855e-03	    3.18366e-02	    1.29395e-01	    4.72314e-04	    4.05698e-02	    5.92793e-04
    2.17544e-02	    1.40000e-01	    1.61038e-02	    3.02297e-02	    2.24676e-05	    8.09741e-04	    5.17830e-05	    3.03905e-03	    9.48571e-03	    3.78480e-02	    1.54497e-01	    6.74606e-04	    4.06938e-02	    8.42656e-04
    2.53815e-02	    1.40000e-01	    1.86394e-02	    3.50141e-02	    3.58569e-05	    9.24114e-04	    8.05847e-05	    3.47162e-03	    1.09147e-02	    4.36746e-02	    1.79195e-01	    9.09376e-04	    4.08392e-02	    1.12971e-03
    2.90094e-02	    1.40000e-01	    2.11093e-02	    3.96878e-02	    5.37824e-05	    1.03076e-03	    1.17499e-04	    3.87163e-03	    1.22783e-02	    4.92932e-02	    2.03437e-01	    1.17453e-03	    4.10052e-02	    1.45023e-03
    3.26380e-02	    1.40000e-01	    2.35062e-02	    4.42391e-02	    7.69056e-05	    1.12971e-03	    1.62875e-04	    4.23550e-03	    1.35705e-02	    5.46839e-02	    2.27177e-01	    1.46770e-03	    4.11911e-02	    1.80024e-03
    3.62674e-02	    1.40000e-01	    2.58234e-02	    4.86580e-02	    1.05858e-04	    1.22135e-03	    2.16785e-04	    4.56002e-03	    1.47863e-02	    5.98302e-02	    2.50376e-01	    1.78626e-03	    4.13956e-02	    2.17558e-03
    3.98979e-02	    1.40000e-01	    2.80552e-02	    5.29360e-02	    1.41218e-04	    1.30640e-03	    2.79012e-04	    4.84239e-03	    1.59219e-02	    6.47196e-02	    2.73000e-01	    2.12739e-03	    4.16175e-02	    2.57199e-03
    4.35293e-02	    1.40000e-01	    3.01964e-02	    5.70658e-02	    1.83490e-04	    1.38589e-03	    3.49064e-04	    5.08024e-03	    1.69749e-02	    6.93433e-02	    2.95021e-01	    2.48808e-03	    4.18551e-02	    2.98530e-03
    4.71619e-02	    1.40000e-01	    3.22428e-02	    6.10420e-02	    2.33077e-04	    1.46112e-03	    4.26179e-04	    5.27165e-03	    1.79437e-02	    7.36965e-02	    3.16418e-01	    2.86515e-03	    4.21067e-02	    3.41144e-03
    5.07958e-02	    1.40000e-01	    3.41913e-02	    6.48602e-02	    2.90264e-04	    1.53358e-03	    5.09357e-04	    5.41516e-03	    1.88282e-02	    7.77783e-02	    3.37173e-01	    3.25537e-03	    4.23703e-02	    3.84655e-03
    5.44310e-02	    1.40000e-01	    3.60393e-02	    6.85176e-02	    3.55196e-04	    1.60495e-03	    5.97390e-04	    5.50977e-03	    1.96293e-02	    8.15915e-02	    3.57275e-01	    3.65544e-03	    4.26436e-02	    4.28711e-03
    5.80676e-02	    1.40000e-01	    3.77852e-02	    7.20124e-02	    4.27867e-04	    1.67699e-03	    6.88906e-04	    5.55496e-03	    2.03488e-02	    8.51427e-02	    3.76715e-01	    4.06204e-03	    4.29241e-02	    4.72990e-03
    6.17058e-02	    1.40000e-01	    3.94283e-02	    7.53442e-02	    5.08102e-04	    1.75151e-03	    7.82416e-04	    5.55068e-03	    2.09894e-02	    8.84415e-02	    3.95488e-01	    4.47193e-03	    4.32092e-02	    5.17216e-03
    6.53456e-02	    1.40000e-01	    4.09686e-02	    7.85134e-02	    5.95560e-04	    1.83029e-03	    8.76369e-04	    5.49734e-03	    2.15547e-02	    9.15005e-02	    4.13591e-01	    4.88195e-03	    4.34963e-02	    5.61153e-03
