# mc-number	             name	     mass	    width	deg	Qb	Qs	Qc	Qbot	isospin	charge	decays	   Nyield
#      2212	                p	  0.93830	0.00000e+00	2	1	  0	0	0	0.5	  1	  1	3.28969e-05
# 1:pbar [GeV]	2:m [GeV]	3:Feq 1	4:Feq 2	5:Fshear 1	6:Fshear 2	7:Fshear 3	8:Fbulk 1	9:Fbulk 2	10:Ftemp 1	11:Ftemp 2	12:Fvel 1	13:Fvel 2	14:Fvel 3
    3.62517e-03	    9.38300e-01	    1.21097e-05	    1.53211e-05	    1.72821e-10	    2.18975e-06	    2.14585e-10	    1.26437e-05	    1.79105e-05	    1.01578e-04	    1.36829e-04	    4.52382e-08	    3.61622e-04	    5.69053e-08
    7.25044e-03	    9.38300e-01	    2.42162e-05	    3.06380e-05	    1.38242e-09	    4.37996e-06	    1.71647e-09	    2.52825e-05	    3.58143e-05	    2.03132e-04	    2.73623e-04	    1.80930e-07	    3.61705e-04	    2.27592e-07
    1.08759e-02	    9.38300e-01	    3.63160e-05	    4.59463e-05	    4.66475e-09	    6.57111e-06	    5.79194e-09	    3.79115e-05	    5.37047e-05	    3.04638e-04	    4.10349e-04	    4.07007e-07	    3.61843e-04	    5.11972e-07
    1.45016e-02	    9.38300e-01	    4.84060e-05	    6.12417e-05	    1.10541e-08	    8.76366e-06	    1.37252e-08	    5.05258e-05	    7.15750e-05	    4.06071e-04	    5.46973e-04	    7.23355e-07	    3.62037e-04	    9.09899e-07
    1.81278e-02	    9.38300e-01	    6.04828e-05	    7.65200e-05	    2.15824e-08	    1.09581e-05	    2.67974e-08	    6.31206e-05	    8.94184e-05	    5.07406e-04	    6.83459e-04	    1.12981e-06	    3.62286e-04	    1.42117e-06
    2.17544e-02	    9.38300e-01	    7.25431e-05	    9.17768e-05	    3.72782e-08	    1.31548e-05	    4.62857e-08	    7.56909e-05	    1.07228e-04	    6.08620e-04	    8.19773e-04	    1.62618e-06	    3.62590e-04	    2.04551e-06
    2.53815e-02	    9.38300e-01	    8.45837e-05	    1.07008e-04	    5.91660e-08	    1.53544e-05	    7.34618e-08	    8.82320e-05	    1.24998e-04	    7.09689e-04	    9.55883e-04	    2.21220e-06	    3.62949e-04	    2.78262e-06
    2.90094e-02	    9.38300e-01	    9.66012e-05	    1.22209e-04	    8.82653e-08	    1.75571e-05	    1.09592e-07	    1.00739e-04	    1.42721e-04	    8.10588e-04	    1.09175e-03	    2.88758e-06	    3.63363e-04	    3.63210e-06
    3.26380e-02	    9.38300e-01	    1.08593e-04	    1.37376e-04	    1.25590e-07	    1.97636e-05	    1.55934e-07	    1.13207e-04	    1.60391e-04	    9.11293e-04	    1.22735e-03	    3.65198e-06	    3.63830e-04	    4.59352e-06
    3.62674e-02	    9.38300e-01	    1.20554e-04	    1.52505e-04	    1.72148e-07	    2.19742e-05	    2.13739e-07	    1.25631e-04	    1.78000e-04	    1.01178e-03	    1.36264e-03	    4.50502e-06	    3.64352e-04	    5.66638e-06
    3.98979e-02	    9.38300e-01	    1.32483e-04	    1.67591e-04	    2.28939e-07	    2.41893e-05	    2.84248e-07	    1.38007e-04	    1.95543e-04	    1.11203e-03	    1.49759e-03	    5.44625e-06	    3.64927e-04	    6.85013e-06
    4.35293e-02	    9.38300e-01	    1.44376e-04	    1.82630e-04	    2.96954e-07	    2.64095e-05	    3.68693e-07	    1.50329e-04	    2.13013e-04	    1.21201e-03	    1.63216e-03	    6.47521e-06	    3.65556e-04	    8.14416e-06
    4.71619e-02	    9.38300e-01	    1.56230e-04	    1.97618e-04	    3.77178e-07	    2.86351e-05	    4.68293e-07	    1.62594e-04	    2.30404e-04	    1.31170e-03	    1.76632e-03	    7.59139e-06	    3.66237e-04	    9.54781e-06
    5.07958e-02	    9.38300e-01	    1.68041e-04	    2.12551e-04	    4.70583e-07	    3.08666e-05	    5.84257e-07	    1.74795e-04	    2.47708e-04	    1.41107e-03	    1.90005e-03	    8.79420e-06	    3.66970e-04	    1.10603e-05
    5.44310e-02	    9.38300e-01	    1.79807e-04	    2.27425e-04	    5.78133e-07	    3.31043e-05	    7.17779e-07	    1.86930e-04	    2.64920e-04	    1.51011e-03	    2.03329e-03	    1.00831e-05	    3.67756e-04	    1.26810e-05
    5.80676e-02	    9.38300e-01	    1.91524e-04	    2.42235e-04	    7.00779e-07	    3.53487e-05	    8.70039e-07	    1.98992e-04	    2.82033e-04	    1.60879e-03	    2.16603e-03	    1.14573e-05	    3.68592e-04	    1.44089e-05
    6.17058e-02	    9.38300e-01	    2.03189e-04	    2.56978e-04	    8.39460e-07	    3.76002e-05	    1.04220e-06	    2.10978e-04	    2.99041e-04	    1.70709e-03	    2.29823e-03	    1.29162e-05	    3.69480e-04	    1.62432e-05
    6.53456e-02	    9.38300e-01	    2.14798e-04	    2.71649e-04	    9.95105e-07	    3.98590e-05	    1.23542e-06	    2.22883e-04	    3.15938e-04	    1.80498e-03	    2.42986e-03	    1.44591e-05	    3.70417e-04	    1.81829e-05
    6.89871e-02	    9.38300e-01	    2.26350e-04	    2.86244e-04	    1.16863e-06	    4.21257e-05	    1.45083e-06	    2.34702e-04	    3.32717e-04	    1.90244e-03	    2.56087e-03	    1.60852e-05	    3.71404e-04	    2.02271e-05
    7.26304e-02	    9.38300e-01	    2.37840e-04	    3.00760e-04	    1.36092e-06	    4.44006e-05	    1.68954e-06	    2.46430e-04	    3.49373e-04	    1.99944e-03	    2.69125e-03	    1.77936e-05	    3.72439e-04	    2.23747e-05
    7.62757e-02	    9.38300e-01	    2.49266e-04	    3.15192e-04	    1.57288e-06	    4.66840e-05	    1.95265e-06	    2.58065e-04	    3.65899e-04	    2.09597e-03	    2.82096e-03	    1.95835e-05	    3.73523e-04	    2.46245e-05
    7.99230e-02	    9.38300e-01	    2.60625e-04	    3.29536e-04	    1.80536e-06	    4.89763e-05	    2.24123e-06	    2.69600e-04	    3.82289e-04	    2.19200e-03	    2.94996e-03	    2.14540e-05	    3.74654e-04	    2.69755e-05
    8.35723e-02	    9.38300e-01	    2.71913e-04	    3.43789e-04	    2.05923e-06	    5.12777e-05	    2.55635e-06	    2.81033e-04	    3.98538e-04	    2.28751e-03	    3.07823e-03	    2.34042e-05	    3.75832e-04	    2.94263e-05
    8.72239e-02	    9.38300e-01	    2.83127e-04	    3.57946e-04	    2.33531e-06	    5.35887e-05	    2.89903e-06	    2.92358e-04	    4.14639e-04	    2.38248e-03	    3.20573e-03	    2.54330e-05	    3.77055e-04	    3.19759e-05
    9.08778e-02	    9.38300e-01	    2.94265e-04	    3.72004e-04	    2.63443e-06	    5.59094e-05	    3.27029e-06	    3.03571e-04	    4.30587e-04	    2.47687e-03	    3.33243e-03	    2.75394e-05	    3.78323e-04	    3.46227e-05
    9.45342e-02	    9.38300e-01	    3.05324e-04	    3.85959e-04	    2.95738e-06	    5.82403e-05	    3.67112e-06	    3.14669e-04	    4.46375e-04	    2.57068e-03	    3.45830e-03	    2.97224e-05	    3.79635e-04	    3.73655e-05
    9.81930e-02	    9.38300e-01	    3.16300e-04	    3.99807e-04	    3.30494e-06	    6.05814e-05	    4.10249e-06	    3.25646e-04	    4.61999e-04	    2.66388e-03	    3.58332e-03	    3.19809e-05	    3.80990e-04	    4.02028e-05
    1.01854e-01	    9.38300e-01	    3.27192e-04	    4.13544e-04	    3.67787e-06	    6.29332e-05	    4.56533e-06	    3.36500e-04	    4.77453e-04	    2.75645e-03	    3.70744e-03	    3.43138e-05	    3.82388e-04	    4.31332e-05
    1.05519e-01	    9.38300e-01	    3.37995e-04	    4.27167e-04	    4.07692e-06	    6.52959e-05	    5.06056e-06	    3.47226e-04	    4.92732e-04	    2.84836e-03	    3.83064e-03	    3.67197e-05	    3.83826e-04	    4.61552e-05
    1.09185e-01	    9.38300e-01	    3.48707e-04	    4.40672e-04	    4.50280e-06	    6.76696e-05	    5.58906e-06	    3.57820e-04	    5.07829e-04	    2.93960e-03	    3.95289e-03	    3.91976e-05	    3.85305e-04	    4.92672e-05
    1.12855e-01	    9.38300e-01	    3.59326e-04	    4.54056e-04	    4.95620e-06	    7.00545e-05	    6.15171e-06	    3.68279e-04	    5.22740e-04	    3.03014e-03	    4.07416e-03	    4.17462e-05	    3.86823e-04	    5.24677e-05
    1.16528e-01	    9.38300e-01	    3.69848e-04	    4.67314e-04	    5.43781e-06	    7.24510e-05	    6.74934e-06	    3.78599e-04	    5.37460e-04	    3.11996e-03	    4.19443e-03	    4.43642e-05	    3.88379e-04	    5.57548e-05
    1.20204e-01	    9.38300e-01	    3.80271e-04	    4.80443e-04	    5.94828e-06	    7.48590e-05	    7.38275e-06	    3.88775e-04	    5.51983e-04	    3.20904e-03	    4.31365e-03	    4.70503e-05	    3.89972e-04	    5.91271e-05
    1.23883e-01	    9.38300e-01	    3.90592e-04	    4.93441e-04	    6.48823e-06	    7.72789e-05	    8.05271e-06	    3.98805e-04	    5.66305e-04	    3.29737e-03	    4.43180e-03	    4.98031e-05	    3.91601e-04	    6.25826e-05
    1.27566e-01	    9.38300e-01	    4.00809e-04	    5.06302e-04	    7.05828e-06	    7.97107e-05	    8.75997e-06	    4.08685e-04	    5.80420e-04	    3.38491e-03	    4.54886e-03	    5.26212e-05	    3.93265e-04	    6.61197e-05
    1.31252e-01	    9.38300e-01	    4.10918e-04	    5.19025e-04	    7.65899e-06	    8.21545e-05	    9.50526e-06	    4.18412e-04	    5.94324e-04	    3.47166e-03	    4.66480e-03	    5.55032e-05	    3.94962e-04	    6.97365e-05
    1.34941e-01	    9.38300e-01	    4.20918e-04	    5.31606e-04	    8.29093e-06	    8.46105e-05	    1.02893e-05	    4.27981e-04	    6.08012e-04	    3.55759e-03	    4.77958e-03	    5.84476e-05	    3.96692e-04	    7.34312e-05
    1.38634e-01	    9.38300e-01	    4.30806e-04	    5.44041e-04	    8.95463e-06	    8.70786e-05	    1.11126e-05	    4.37391e-04	    6.21480e-04	    3.64268e-03	    4.89319e-03	    6.14531e-05	    3.98453e-04	    7.72018e-05
    1.42331e-01	    9.38300e-01	    4.40579e-04	    5.56327e-04	    9.65059e-06	    8.95591e-05	    1.19759e-05	    4.46637e-04	    6.34723e-04	    3.72691e-03	    5.00559e-03	    6.45179e-05	    4.00244e-04	    8.10464e-05
    1.46031e-01	    9.38300e-01	    4.50235e-04	    5.68461e-04	    1.03793e-05	    9.20519e-05	    1.28798e-05	    4.55717e-04	    6.47737e-04	    3.81026e-03	    5.11676e-03	    6.76407e-05	    4.02064e-04	    8.49630e-05
