# mc-number	             name	     mass	    width	deg	Qb	Qs	Qc	Qbot	isospin	charge	decays	   Nyield
#      3122	           Lambda	  1.11568	0.00000e+00	2	1	 -1	0	0	0	  0	  1	1.91251e-05
# 1:pbar [GeV]	2:m [GeV]	3:Feq 1	4:Feq 2	5:Fshear 1	6:Fshear 2	7:Fshear 3	8:Fbulk 1	9:Fbulk 2	10:Ftemp 1	11:Ftemp 2	12:Fvel 1	13:Fvel 2	14:Fvel 3
    3.62517e-03	    1.11568e+00	    6.63298e-06	    7.64876e-06	    1.01417e-10	    9.20106e-07	    1.18129e-10	    8.58401e-06	    1.05291e-05	    6.35603e-05	    7.47880e-05	    2.58230e-08	    1.36014e-04	    2.99461e-08
    7.25044e-03	    1.11568e+00	    1.32644e-05	    1.52957e-05	    8.11258e-10	    1.84059e-06	    9.44942e-10	    1.71653e-05	    2.10548e-05	    1.27107e-04	    1.49560e-04	    1.03281e-07	    1.36072e-04	    1.19771e-07
    1.08759e-02	    1.11568e+00	    1.98927e-05	    2.29389e-05	    2.73757e-09	    2.76185e-06	    3.18867e-09	    2.57410e-05	    3.15737e-05	    1.90627e-04	    2.24299e-04	    2.32342e-07	    1.36171e-04	    2.69437e-07
    1.45016e-02	    1.11568e+00	    2.65163e-05	    3.05766e-05	    6.48763e-09	    3.68424e-06	    7.55662e-09	    3.43084e-05	    4.20824e-05	    2.54107e-04	    2.98989e-04	    4.12950e-07	    1.36308e-04	    4.78878e-07
    1.81278e-02	    1.11568e+00	    3.31337e-05	    3.82069e-05	    1.26676e-08	    4.60816e-06	    1.47547e-08	    4.28648e-05	    5.25775e-05	    3.17533e-04	    3.73613e-04	    6.45031e-07	    1.36484e-04	    7.48003e-07
    2.17544e-02	    1.11568e+00	    3.97433e-05	    4.58280e-05	    2.18820e-08	    5.53399e-06	    2.54872e-08	    5.14075e-05	    6.30557e-05	    3.80891e-04	    4.48157e-04	    9.28484e-07	    1.36700e-04	    1.07670e-06
    2.53815e-02	    1.11568e+00	    4.63435e-05	    5.34381e-05	    3.47337e-08	    6.46209e-06	    4.04557e-08	    5.99335e-05	    7.35135e-05	    4.44169e-04	    5.22602e-04	    1.26319e-06	    1.36954e-04	    1.46481e-06
    2.90094e-02	    1.11568e+00	    5.29328e-05	    6.10353e-05	    5.18230e-08	    7.39285e-06	    6.03596e-08	    6.84403e-05	    8.39477e-05	    5.07354e-04	    5.96933e-04	    1.64901e-06	    1.37248e-04	    1.91219e-06
    3.26380e-02	    1.11568e+00	    5.95096e-05	    6.86178e-05	    7.37477e-08	    8.32664e-06	    8.58946e-08	    7.69252e-05	    9.43547e-05	    5.70431e-04	    6.71133e-04	    2.08578e-06	    1.37579e-04	    2.41863e-06
    3.62674e-02	    1.11568e+00	    6.60725e-05	    7.61837e-05	    1.01103e-07	    9.26383e-06	    1.17753e-07	    8.53852e-05	    1.04731e-04	    6.33387e-04	    7.45187e-04	    2.57331e-06	    1.37950e-04	    2.98391e-06
    3.98979e-02	    1.11568e+00	    7.26198e-05	    8.37313e-05	    1.34479e-07	    1.02048e-05	    1.56623e-07	    9.38179e-05	    1.15074e-04	    6.96209e-04	    8.19078e-04	    3.11140e-06	    1.38358e-04	    3.60778e-06
