# mc-number	             name	     mass	    width	deg	Qb	Qs	Qc	Qbot	isospin	charge	decays	   Nyield
#       321	               K+	  0.49400	0.00000e+00	1	0	  1	0	0	0.5	  1	  1	0.000115181
# 1:pbar [GeV]	2:m [GeV]	3:Feq 1	4:Feq 2	5:Fshear 1	6:Fshear 2	7:Fshear 3	8:Fbulk 1	9:Fbulk 2	10:Ftemp 1	11:Ftemp 2	12:Fvel 1	13:Fvel 2	14:Fvel 3
    3.62517e-03	    4.94000e-01	    2.08151e-04	    2.69051e-04	    5.15263e-09	    2.57626e-05	    6.45243e-09	    1.28070e-04	    1.90375e-04	    1.14823e-03	    1.62783e-03	    9.60894e-07	    3.61093e-03	    1.22176e-06
    7.25044e-03	    4.94000e-01	    4.16160e-04	    5.37921e-04	    4.12022e-08	    5.15374e-05	    5.15954e-08	    2.55978e-04	    3.80543e-04	    2.29569e-03	    3.25465e-03	    3.84208e-06	    3.61264e-03	    4.88505e-06
    1.08759e-02	    4.94000e-01	    6.23890e-04	    8.06396e-04	    1.38951e-07	    7.73362e-05	    1.73999e-07	    3.83569e-04	    5.70249e-04	    3.44165e-03	    4.87911e-03	    8.63905e-06	    3.61548e-03	    1.09842e-05
    1.45016e-02	    4.94000e-01	    8.31200e-04	    1.07432e-03	    3.29015e-07	    1.03171e-04	    4.11996e-07	    5.10679e-04	    7.59319e-04	    4.58532e-03	    6.50040e-03	    1.53444e-05	    3.61945e-03	    1.95092e-05
    1.81278e-02	    4.94000e-01	    1.03795e-03	    1.34149e-03	    6.41726e-07	    1.29053e-04	    8.03558e-07	    6.37151e-04	    9.47521e-04	    5.72595e-03	    8.11734e-03	    2.39475e-05	    3.62454e-03	    3.04468e-05
    2.17544e-02	    4.94000e-01	    1.24400e-03	    1.60772e-03	    1.10705e-06	    1.54995e-04	    1.38618e-06	    7.62828e-04	    1.13465e-03	    6.86281e-03	    9.72888e-03	    3.44353e-05	    3.63074e-03	    4.37793e-05
    2.53815e-02	    4.94000e-01	    1.44922e-03	    1.87284e-03	    1.75447e-06	    1.81007e-04	    2.19678e-06	    8.87556e-04	    1.32049e-03	    7.99514e-03	    1.13340e-02	    4.67912e-05	    3.63804e-03	    5.94857e-05
    2.90094e-02	    4.94000e-01	    1.65346e-03	    2.13665e-03	    2.61295e-06	    2.07100e-04	    3.27156e-06	    1.01118e-03	    1.50483e-03	    9.12220e-03	    1.29315e-02	    6.09963e-05	    3.64642e-03	    7.75410e-05
    3.26380e-02	    4.94000e-01	    1.85660e-03	    2.39899e-03	    3.71078e-06	    2.33284e-04	    4.64591e-06	    1.13355e-03	    1.68748e-03	    1.02433e-02	    1.45205e-02	    7.70285e-05	    3.65587e-03	    9.79169e-05
    3.62674e-02	    4.94000e-01	    2.05850e-03	    2.65965e-03	    5.07556e-06	    2.59569e-04	    6.35431e-06	    1.25453e-03	    1.86822e-03	    1.13576e-02	    1.60998e-02	    9.48632e-05	    3.66635e-03	    1.20581e-04
    3.98979e-02	    4.94000e-01	    2.25903e-03	    2.91849e-03	    6.73407e-06	    2.85965e-04	    8.43020e-06	    1.37395e-03	    2.04687e-03	    1.24646e-02	    1.76686e-02	    1.14473e-04	    3.67787e-03	    1.45498e-04
    4.35293e-02	    4.94000e-01	    2.45806e-03	    3.17531e-03	    8.71219e-06	    3.12480e-04	    1.09059e-05	    1.49169e-03	    2.22322e-03	    1.35634e-02	    1.92257e-02	    1.35828e-04	    3.69038e-03	    1.72628e-04
    4.71619e-02	    4.94000e-01	    2.65546e-03	    3.42996e-03	    1.10349e-05	    3.39122e-04	    1.38126e-05	    1.60761e-03	    2.39710e-03	    1.46534e-02	    2.07703e-02	    1.58895e-04	    3.70387e-03	    2.01930e-04
    5.07958e-02	    4.94000e-01	    2.85111e-03	    3.68226e-03	    1.37261e-05	    3.65898e-04	    1.71800e-05	    1.72157e-03	    2.56832e-03	    1.57339e-02	    2.23012e-02	    1.83640e-04	    3.71830e-03	    2.33357e-04
    5.44310e-02	    4.94000e-01	    3.04489e-03	    3.93204e-03	    1.68086e-05	    3.92815e-04	    2.10366e-05	    1.83344e-03	    2.73670e-03	    1.68042e-02	    2.38176e-02	    2.10024e-04	    3.73366e-03	    2.66861e-04
    5.80676e-02	    4.94000e-01	    3.23667e-03	    4.17916e-03	    2.03041e-05	    4.19880e-04	    2.54093e-05	    1.94310e-03	    2.90207e-03	    1.78638e-02	    2.53186e-02	    2.38009e-04	    3.74990e-03	    3.02391e-04
    6.17058e-02	    4.94000e-01	    3.42633e-03	    4.42345e-03	    2.42330e-05	    4.47096e-04	    3.03235e-05	    2.05043e-03	    3.06427e-03	    1.89119e-02	    2.68032e-02	    2.67553e-04	    3.76699e-03	    3.39891e-04
    6.53456e-02	    4.94000e-01	    3.61377e-03	    4.66476e-03	    2.86145e-05	    4.74468e-04	    3.58031e-05	    2.15530e-03	    3.22314e-03	    1.99480e-02	    2.82706e-02	    2.98610e-04	    3.78491e-03	    3.79306e-04
    6.89871e-02	    4.94000e-01	    3.79888e-03	    4.90294e-03	    3.34666e-05	    5.02000e-04	    4.18701e-05	    2.25762e-03	    3.37852e-03	    2.09714e-02	    2.97199e-02	    3.31136e-04	    3.80360e-03	    4.20574e-04
    7.26304e-02	    4.94000e-01	    3.98153e-03	    5.13786e-03	    3.88057e-05	    5.29693e-04	    4.85450e-05	    2.35728e-03	    3.53027e-03	    2.19816e-02	    3.11503e-02	    3.65082e-04	    3.82305e-03	    4.63634e-04
    7.62757e-02	    4.94000e-01	    4.16164e-03	    5.36936e-03	    4.46469e-05	    5.57550e-04	    5.58463e-05	    2.45417e-03	    3.67826e-03	    2.29780e-02	    3.25609e-02	    4.00399e-04	    3.84320e-03	    5.08421e-04
    7.99230e-02	    4.94000e-01	    4.33910e-03	    5.59732e-03	    5.10039e-05	    5.85571e-04	    6.37909e-05	    2.54821e-03	    3.82235e-03	    2.39601e-02	    3.39510e-02	    4.37035e-04	    3.86402e-03	    5.54870e-04
    8.35723e-02	    4.94000e-01	    4.51380e-03	    5.82160e-03	    5.78890e-05	    6.13755e-04	    7.23937e-05	    2.63930e-03	    3.96242e-03	    2.49274e-02	    3.53198e-02	    4.74937e-04	    3.88547e-03	    6.02910e-04
    8.72239e-02	    4.94000e-01	    4.68567e-03	    6.04209e-03	    6.53129e-05	    6.42101e-04	    8.16678e-05	    2.72737e-03	    4.09835e-03	    2.58792e-02	    3.66667e-02	    5.14052e-04	    3.90750e-03	    6.52472e-04
    9.08778e-02	    4.94000e-01	    4.85459e-03	    6.25865e-03	    7.32849e-05	    6.70607e-04	    9.16244e-05	    2.81233e-03	    4.23004e-03	    2.68153e-02	    3.79908e-02	    5.54324e-04	    3.93008e-03	    7.03483e-04
    9.45342e-02	    4.94000e-01	    5.02050e-03	    6.47119e-03	    8.18125e-05	    6.99269e-04	    1.02273e-04	    2.89411e-03	    4.35739e-03	    2.77350e-02	    3.92916e-02	    5.95695e-04	    3.95316e-03	    7.55871e-04
    9.81930e-02	    4.94000e-01	    5.18331e-03	    6.67958e-03	    9.09022e-05	    7.28084e-04	    1.13620e-04	    2.97266e-03	    4.48030e-03	    2.86380e-02	    4.05684e-02	    6.38108e-04	    3.97669e-03	    8.09560e-04
