# mc-number	             name	     mass	    width	deg	Qb	Qs	Qc	Qbot	isospin	charge	decays	   Nyield
#      3312	             Ksi-	  1.32131	0.00000e+00	2	1	 -2	0	0	0.5	 -1	  1	3.14993e-06
# 1:pbar [GeV]	2:m [GeV]	3:Feq 1	4:Feq 2	5:Fshear 1	6:Fshear 2	7:Fshear 3	8:Fbulk 1	9:Fbulk 2	10:Ftemp 1	11:Ftemp 2	12:Fvel 1	13:Fvel 2	14:Fvel 3
    3.62517e-03	    1.32131e+00	    9.63470e-07	    1.00618e-06	    1.50887e-11	    4.75631e-08	    1.58508e-11	    1.47874e-06	    1.57144e-06	    9.99468e-06	    1.04565e-05	    3.79618e-09	    6.77522e-06	    3.97612e-09
    7.25044e-03	    1.32131e+00	    1.92675e-06	    2.01216e-06	    1.20701e-10	    9.52066e-08	    1.26797e-10	    2.95709e-06	    3.14245e-06	    1.99876e-05	    2.09110e-05	    1.51834e-08	    6.78580e-06	    1.59031e-08
    1.08759e-02	    1.32131e+00	    2.88965e-06	    3.01773e-06	    4.07315e-10	    1.43011e-07	    4.27885e-10	    4.43464e-06	    4.71261e-06	    2.99769e-05	    3.13618e-05	    3.41578e-08	    6.80343e-06	    3.57767e-08
    1.45016e-02	    1.32131e+00	    3.85198e-06	    4.02271e-06	    9.65320e-10	    1.91056e-07	    1.01407e-09	    5.91100e-06	    6.28150e-06	    3.99609e-05	    4.18070e-05	    6.07127e-08	    6.82809e-06	    6.35901e-08
    1.81278e-02	    1.32131e+00	    4.81355e-06	    5.02689e-06	    1.88497e-09	    2.39422e-07	    1.98015e-09	    7.38577e-06	    7.84869e-06	    4.99377e-05	    5.22447e-05	    9.48389e-08	    6.85979e-06	    9.93334e-08
    2.17544e-02	    1.32131e+00	    5.77416e-06	    6.03006e-06	    3.25634e-09	    2.88188e-07	    3.42076e-09	    8.85856e-06	    9.41377e-06	    5.99057e-05	    6.26729e-05	    1.36525e-07	    6.89851e-06	    1.42994e-07
    2.53815e-02	    1.32131e+00	    6.73364e-06	    7.03204e-06	    5.16928e-09	    3.37436e-07	    5.43026e-09	    1.03290e-05	    1.09763e-05	    6.98629e-05	    7.30898e-05	    1.85756e-07	    6.94424e-06	    1.94557e-07
    2.90094e-02	    1.32131e+00	    7.69179e-06	    8.03262e-06	    7.71336e-09	    3.87243e-07	    8.10276e-09	    1.17966e-05	    1.25359e-05	    7.98077e-05	    8.34936e-05	    2.42515e-07	    6.99695e-06	    2.54005e-07
    3.26380e-02	    1.32131e+00	    8.64842e-06	    9.03159e-06	    1.09779e-08	    4.37690e-07	    1.15320e-08	    1.32611e-05	    1.40921e-05	    8.97382e-05	    9.38824e-05	    3.06782e-07	    7.05664e-06	    3.21315e-07
    3.62674e-02	    1.32131e+00	    9.60335e-06	    1.00288e-05	    1.50517e-08	    4.88854e-07	    1.58114e-08	    1.47220e-05	    1.56445e-05	    9.96527e-05	    1.04254e-04	    3.78535e-07	    7.12328e-06	    3.96466e-07
    3.98979e-02	    1.32131e+00	    1.05564e-05	    1.10240e-05	    2.00233e-08	    5.40815e-07	    2.10338e-08	    1.61789e-05	    1.71926e-05	    1.09549e-04	    1.14607e-04	    4.57750e-07	    7.19684e-06	    4.79430e-07
    4.35293e-02	    1.32131e+00	    1.15073e-05	    1.20170e-05	    2.59809e-08	    5.93650e-07	    2.72918e-08	    1.76315e-05	    1.87361e-05	    1.19427e-04	    1.24940e-04	    5.44398e-07	    7.27730e-06	    5.70179e-07
    4.71619e-02	    1.32131e+00	    1.24560e-05	    1.30076e-05	    3.30119e-08	    6.47437e-07	    3.46774e-08	    1.90794e-05	    2.02746e-05	    1.29282e-04	    1.35250e-04	    6.38450e-07	    7.36463e-06	    6.68680e-07
    5.07958e-02	    1.32131e+00	    1.34022e-05	    1.39956e-05	    4.12033e-08	    7.02253e-07	    4.32817e-08	    2.05221e-05	    2.18076e-05	    1.39115e-04	    1.45535e-04	    7.39873e-07	    7.45880e-06	    7.74899e-07
    5.44310e-02	    1.32131e+00	    1.43458e-05	    1.49808e-05	    5.06417e-08	    7.58175e-07	    5.31958e-08	    2.19594e-05	    2.33347e-05	    1.48923e-04	    1.55794e-04	    8.48632e-07	    7.55978e-06	    8.88799e-07
    5.80676e-02	    1.32131e+00	    1.52865e-05	    1.59630e-05	    6.14128e-08	    8.15277e-07	    6.45095e-08	    2.33907e-05	    2.48556e-05	    1.58704e-04	    1.66026e-04	    9.64688e-07	    7.66752e-06	    1.01034e-06
    6.17058e-02	    1.32131e+00	    1.62242e-05	    1.69421e-05	    7.36018e-08	    8.73636e-07	    7.73124e-08	    2.48157e-05	    2.63697e-05	    1.68457e-04	    1.76227e-04	    1.08800e-06	    7.78199e-06	    1.13948e-06
    6.53456e-02	    1.32131e+00	    1.71587e-05	    1.79178e-05	    8.72932e-08	    9.33327e-07	    9.16930e-08	    2.62341e-05	    2.78767e-05	    1.78180e-04	    1.86396e-04	    1.21853e-06	    7.90315e-06	    1.27617e-06
    6.89871e-02	    1.32131e+00	    1.80899e-05	    1.88899e-05	    1.02570e-07	    9.94422e-07	    1.07739e-07	    2.76455e-05	    2.93762e-05	    1.87871e-04	    1.96532e-04	    1.35623e-06	    8.03095e-06	    1.42037e-06
    7.26304e-02	    1.32131e+00	    1.90174e-05	    1.98583e-05	    1.19517e-07	    1.05699e-06	    1.25538e-07	    2.90494e-05	    3.08677e-05	    1.97529e-04	    2.06633e-04	    1.50105e-06	    8.16535e-06	    1.57202e-06
    7.62757e-02	    1.32131e+00	    1.99412e-05	    2.08227e-05	    1.38214e-07	    1.12112e-06	    1.45175e-07	    3.04455e-05	    3.23510e-05	    2.07151e-04	    2.16696e-04	    1.65294e-06	    8.30629e-06	    1.73107e-06
    7.99230e-02	    1.32131e+00	    2.08611e-05	    2.17829e-05	    1.58743e-07	    1.18686e-06	    1.66736e-07	    3.18335e-05	    3.38255e-05	    2.16736e-04	    2.26720e-04	    1.81184e-06	    8.45373e-06	    1.89746e-06
    8.35723e-02	    1.32131e+00	    2.17768e-05	    2.27389e-05	    1.81184e-07	    1.25430e-06	    1.90305e-07	    3.32129e-05	    3.52909e-05	    2.26282e-04	    2.36704e-04	    1.97771e-06	    8.60762e-06	    2.07114e-06
    8.72239e-02	    1.32131e+00	    2.26882e-05	    2.36903e-05	    2.05617e-07	    1.32350e-06	    2.15965e-07	    3.45834e-05	    3.67468e-05	    2.35788e-04	    2.46644e-04	    2.15048e-06	    8.76789e-06	    2.25204e-06
    9.08778e-02	    1.32131e+00	    2.35952e-05	    2.46370e-05	    2.32120e-07	    1.39453e-06	    2.43798e-07	    3.59447e-05	    3.81929e-05	    2.45252e-04	    2.56540e-04	    2.33009e-06	    8.93448e-06	    2.44011e-06
    9.45342e-02	    1.32131e+00	    2.44974e-05	    2.55787e-05	    2.60770e-07	    1.46745e-06	    2.73885e-07	    3.72963e-05	    3.96286e-05	    2.54672e-04	    2.66390e-04	    2.51649e-06	    9.10735e-06	    2.63526e-06
    9.81930e-02	    1.32131e+00	    2.53949e-05	    2.65154e-05	    2.91642e-07	    1.54234e-06	    3.06305e-07	    3.86379e-05	    4.10536e-05	    2.64046e-04	    2.76191e-04	    2.70960e-06	    9.28642e-06	    2.83744e-06
    1.01854e-01	    1.32131e+00	    2.62873e-05	    2.74468e-05	    3.24812e-07	    1.61927e-06	    3.41138e-07	    3.99691e-05	    4.24676e-05	    2.73373e-04	    2.85943e-04	    2.90935e-06	    9.47162e-06	    3.04657e-06
    1.05519e-01	    1.32131e+00	    2.71745e-05	    2.83727e-05	    3.60354e-07	    1.69828e-06	    3.78460e-07	    4.12897e-05	    4.38702e-05	    2.82651e-04	    2.95643e-04	    3.11568e-06	    9.66289e-06	    3.26258e-06
    1.09185e-01	    1.32131e+00	    2.80564e-05	    2.92930e-05	    3.98340e-07	    1.77946e-06	    4.18347e-07	    4.25992e-05	    4.52609e-05	    2.91878e-04	    3.05289e-04	    3.32852e-06	    9.86017e-06	    3.48539e-06
    1.12855e-01	    1.32131e+00	    2.89327e-05	    3.02074e-05	    4.38841e-07	    1.86285e-06	    4.60874e-07	    4.38972e-05	    4.66395e-05	    3.01053e-04	    3.14881e-04	    3.54778e-06	    1.00634e-05	    3.71493e-06
    1.16528e-01	    1.32131e+00	    2.98033e-05	    3.11158e-05	    4.81927e-07	    1.94852e-06	    5.06114e-07	    4.51835e-05	    4.80055e-05	    3.10174e-04	    3.24415e-04	    3.77339e-06	    1.02724e-05	    3.95110e-06
    1.20204e-01	    1.32131e+00	    3.06680e-05	    3.20181e-05	    5.27667e-07	    2.03653e-06	    5.54139e-07	    4.64577e-05	    4.93587e-05	    3.19240e-04	    3.33891e-04	    4.00527e-06	    1.04872e-05	    4.19382e-06
    1.23883e-01	    1.32131e+00	    3.15266e-05	    3.29139e-05	    5.76128e-07	    2.12695e-06	    6.05019e-07	    4.77195e-05	    5.06985e-05	    3.28248e-04	    3.43306e-04	    4.24334e-06	    1.07078e-05	    4.44301e-06
    1.27566e-01	    1.32131e+00	    3.23790e-05	    3.38032e-05	    6.27375e-07	    2.21981e-06	    6.58823e-07	    4.89685e-05	    5.20248e-05	    3.37197e-04	    3.52660e-04	    4.48751e-06	    1.09339e-05	    4.69858e-06
    1.31252e-01	    1.32131e+00	    3.32250e-05	    3.46857e-05	    6.81473e-07	    2.31519e-06	    7.15617e-07	    5.02044e-05	    5.33370e-05	    3.46086e-04	    3.61949e-04	    4.73770e-06	    1.11655e-05	    4.96044e-06
    1.34941e-01	    1.32131e+00	    3.40645e-05	    3.55613e-05	    7.38485e-07	    2.41313e-06	    7.75469e-07	    5.14269e-05	    5.46349e-05	    3.54913e-04	    3.71173e-04	    4.99381e-06	    1.14026e-05	    5.22849e-06
    1.38634e-01	    1.32131e+00	    3.48972e-05	    3.64299e-05	    7.98471e-07	    2.51368e-06	    8.38441e-07	    5.26356e-05	    5.59182e-05	    3.63676e-04	    3.80330e-04	    5.25576e-06	    1.16451e-05	    5.50263e-06
    1.42331e-01	    1.32131e+00	    3.57229e-05	    3.72911e-05	    8.61492e-07	    2.61690e-06	    9.04595e-07	    5.38303e-05	    5.71865e-05	    3.72374e-04	    3.89418e-04	    5.52346e-06	    1.18928e-05	    5.78277e-06
    1.46031e-01	    1.32131e+00	    3.65417e-05	    3.81450e-05	    9.27604e-07	    2.72284e-06	    9.73993e-07	    5.50106e-05	    5.84394e-05	    3.81005e-04	    3.98435e-04	    5.79679e-06	    1.21457e-05	    6.06880e-06
    1.49736e-01	    1.32131e+00	    3.73531e-05	    3.89912e-05	    9.96865e-07	    2.83155e-06	    1.04669e-06	    5.61762e-05	    5.96766e-05	    3.89567e-04	    4.07380e-04	    6.07568e-06	    1.24036e-05	    6.36062e-06
    1.53444e-01	    1.32131e+00	    3.81572e-05	    3.98297e-05	    1.06933e-06	    2.94306e-06	    1.12275e-06	    5.73268e-05	    6.08979e-05	    3.98059e-04	    4.16258e-04	    6.36001e-06	    1.26666e-05	    6.65813e-06
    1.57157e-01	    1.32131e+00	    3.89538e-05	    4.06602e-05	    1.14505e-06	    3.05743e-06	    1.20222e-06	    5.84621e-05	    6.21028e-05	    4.06480e-04	    4.25047e-04	    6.64968e-06	    1.29344e-05	    6.96121e-06
    1.60874e-01	    1.32131e+00	    3.97426e-05	    4.14826e-05	    1.22408e-06	    3.17469e-06	    1.28516e-06	    5.95818e-05	    6.32911e-05	    4.14828e-04	    4.33766e-04	    6.94460e-06	    1.32070e-05	    7.26976e-06
