# mc-number	             name	     mass	    width	deg	Qb	Qs	Qc	Qbot	isospin	charge	decays	   Nyield
#      3334	            Omega	  1.67245	0.00000e+00	4	1	 -3	0	0	0	 -1	  1	3.56854e-07
# 1:pbar [GeV]	2:m [GeV]	3:Feq 1	4:Feq 2	5:Fshear 1	6:Fshear 2	7:Fshear 3	8:Fbulk 1	9:Fbulk 2	10:Ftemp 1	11:Ftemp 2	12:Fvel 1	13:Fvel 2	14:Fvel 3
    3.62517e-03	    1.67245e+00	    3.59629e-08	    3.63600e-08	    4.67473e-13	    4.97266e-10	    4.72978e-13	    6.39887e-08	    6.50090e-08	    4.17537e-07	    4.23700e-07	    1.29746e-10	    7.98189e-08	    1.31231e-10
    7.25044e-03	    1.67245e+00	    7.19209e-08	    7.27150e-08	    3.73964e-12	    9.97267e-10	    3.78367e-12	    1.27966e-07	    1.30006e-07	    8.35024e-07	    8.47348e-07	    5.18956e-10	    8.02014e-08	    5.24897e-10
    1.08759e-02	    1.67245e+00	    1.07869e-07	    1.09060e-07	    1.26204e-11	    1.50274e-09	    1.27690e-11	    1.91920e-07	    1.94980e-07	    1.25241e-06	    1.27089e-06	    1.16755e-09	    8.08389e-08	    1.18091e-09
    1.45016e-02	    1.67245e+00	    1.43803e-07	    1.45391e-07	    2.99122e-11	    2.01641e-09	    3.02643e-11	    2.55839e-07	    2.59918e-07	    1.66964e-06	    1.69428e-06	    2.07537e-09	    8.17311e-08	    2.09913e-09
    1.81278e-02	    1.67245e+00	    1.79717e-07	    1.81701e-07	    5.84150e-11	    2.54102e-09	    5.91027e-11	    3.19711e-07	    3.24809e-07	    2.08667e-06	    2.11747e-06	    3.24224e-09	    8.28779e-08	    3.27935e-09
    2.17544e-02	    1.67245e+00	    2.15607e-07	    2.17987e-07	    1.00926e-10	    3.07928e-09	    1.02114e-10	    3.83526e-07	    3.89641e-07	    2.50345e-06	    2.54039e-06	    4.66789e-09	    8.42791e-08	    4.72132e-09
    2.53815e-02	    1.67245e+00	    2.51467e-07	    2.54244e-07	    1.60238e-10	    3.63393e-09	    1.62124e-10	    4.47271e-07	    4.54403e-07	    2.91992e-06	    2.96301e-06	    6.35202e-09	    8.59343e-08	    6.42472e-09
    2.90094e-02	    1.67245e+00	    2.87294e-07	    2.90465e-07	    2.39139e-10	    4.20769e-09	    2.41955e-10	    5.10935e-07	    5.19082e-07	    3.33604e-06	    3.38526e-06	    8.29425e-09	    8.78431e-08	    8.38918e-09
    3.26380e-02	    1.67245e+00	    3.23081e-07	    3.26648e-07	    3.40414e-10	    4.80326e-09	    3.44421e-10	    5.74506e-07	    5.83667e-07	    3.75175e-06	    3.80711e-06	    1.04942e-08	    9.00052e-08	    1.06143e-08
    3.62674e-02	    1.67245e+00	    3.58825e-07	    3.62786e-07	    4.66838e-10	    5.42335e-09	    4.72333e-10	    6.37973e-07	    6.48146e-07	    4.16701e-06	    4.22848e-06	    1.29513e-08	    9.24200e-08	    1.30995e-08
    3.98979e-02	    1.67245e+00	    3.94520e-07	    3.98875e-07	    6.21181e-10	    6.07068e-09	    6.28493e-10	    7.01324e-07	    7.12508e-07	    4.58176e-06	    4.64935e-06	    1.56650e-08	    9.50870e-08	    1.58443e-08
    4.35293e-02	    1.67245e+00	    4.30162e-07	    4.34909e-07	    8.06207e-10	    6.74791e-09	    8.15695e-10	    7.64548e-07	    7.76740e-07	    4.99595e-06	    5.06964e-06	    1.86349e-08	    9.80057e-08	    1.88481e-08
    4.71619e-02	    1.67245e+00	    4.65745e-07	    4.70884e-07	    1.02467e-09	    7.45776e-09	    1.03673e-09	    8.27633e-07	    8.40831e-07	    5.40954e-06	    5.48932e-06	    2.18602e-08	    1.01175e-07	    2.21103e-08
    5.07958e-02	    1.67245e+00	    5.01264e-07	    5.06796e-07	    1.27931e-09	    8.20288e-09	    1.29436e-09	    8.90568e-07	    9.04770e-07	    5.82246e-06	    5.90832e-06	    2.53401e-08	    1.04595e-07	    2.56300e-08
    5.44310e-02	    1.67245e+00	    5.36716e-07	    5.42638e-07	    1.57286e-09	    8.98594e-09	    1.59137e-09	    9.53340e-07	    9.68544e-07	    6.23468e-06	    6.32660e-06	    2.90740e-08	    1.08265e-07	    2.94067e-08
    5.80676e-02	    1.67245e+00	    5.72095e-07	    5.78406e-07	    1.90806e-09	    9.80960e-09	    1.93051e-09	    1.01594e-06	    1.03214e-06	    6.64614e-06	    6.74411e-06	    3.30611e-08	    1.12183e-07	    3.34393e-08
    6.17058e-02	    1.67245e+00	    6.07396e-07	    6.14096e-07	    2.28760e-09	    1.06765e-08	    2.31451e-09	    1.07835e-06	    1.09555e-06	    7.05679e-06	    7.16080e-06	    3.73004e-08	    1.16349e-07	    3.77270e-08
    6.53456e-02	    1.67245e+00	    6.42614e-07	    6.49702e-07	    2.71419e-09	    1.15893e-08	    2.74612e-09	    1.14057e-06	    1.15877e-06	    7.46657e-06	    7.57661e-06	    4.17910e-08	    1.20762e-07	    4.22689e-08
    6.89871e-02	    1.67245e+00	    6.77745e-07	    6.85219e-07	    3.19051e-09	    1.25505e-08	    3.22804e-09	    1.20258e-06	    1.22177e-06	    7.87545e-06	    7.99149e-06	    4.65319e-08	    1.25421e-07	    4.70640e-08
    7.26304e-02	    1.67245e+00	    7.12784e-07	    7.20643e-07	    3.71925e-09	    1.35629e-08	    3.76299e-09	    1.26438e-06	    1.28454e-06	    8.28336e-06	    8.40539e-06	    5.15221e-08	    1.30325e-07	    5.21112e-08
    7.62757e-02	    1.67245e+00	    7.47725e-07	    7.55969e-07	    4.30304e-09	    1.46289e-08	    4.35365e-09	    1.32594e-06	    1.34709e-06	    8.69027e-06	    8.81826e-06	    5.67605e-08	    1.35472e-07	    5.74094e-08
    7.99230e-02	    1.67245e+00	    7.82565e-07	    7.91192e-07	    4.94455e-09	    1.57512e-08	    5.00269e-09	    1.38726e-06	    1.40939e-06	    9.09611e-06	    9.23006e-06	    6.22459e-08	    1.40862e-07	    6.29574e-08
    8.35723e-02	    1.67245e+00	    8.17298e-07	    8.26306e-07	    5.64638e-09	    1.69323e-08	    5.71276e-09	    1.44833e-06	    1.47143e-06	    9.50083e-06	    9.64071e-06	    6.79770e-08	    1.46494e-07	    6.87539e-08
    8.72239e-02	    1.67245e+00	    8.51919e-07	    8.61307e-07	    6.41115e-09	    1.81747e-08	    6.48652e-09	    1.50913e-06	    1.53321e-06	    9.90440e-06	    1.00502e-05	    7.39527e-08	    1.52365e-07	    7.47978e-08
    9.08778e-02	    1.67245e+00	    8.86424e-07	    8.96191e-07	    7.24145e-09	    1.94810e-08	    7.32657e-09	    1.56966e-06	    1.59470e-06	    1.03067e-05	    1.04584e-05	    8.01716e-08	    1.58476e-07	    8.10876e-08
    9.45342e-02	    1.67245e+00	    9.20808e-07	    9.30952e-07	    8.13985e-09	    2.08537e-08	    8.23551e-09	    1.62990e-06	    1.65591e-06	    1.07078e-05	    1.08654e-05	    8.66322e-08	    1.64824e-07	    8.76219e-08
